separator,accuracy,top_5_percent
"""The movie is",0.4679487179487179,True
"""this could",0.45256410256410257,True
"""it is a",0.4512820512820513,True
is,0.4384615384615385,True
It seems to me,0.4371794871794871,True
"""j",0.4371794871794871,True
"""The audience",0.43589743589743596,True
"""lucid",0.43589743589743596,True
to me .,0.423076923076923,False
"""the movie is",0.4217948717948718,False
"""we will certainly",0.4217948717948718,False
"""an interesting",0.4217948717948718,False
- a good flick to,0.4217948717948718,False
is this review positive,0.4217948717948718,False
".

the",0.4205128205128205,False
"""it",0.4076923076923077,False
"""The movie can",0.40641025641025647,False
the film appears more,0.4064102564102564,False
is the sentiment of,0.4064102564102564,False
"""judd",0.4064102564102564,False
"""the best",0.4064102564102564,False
"""This is a",0.4064102564102564,False
"""I can",0.4064102564102564,False
"""an old",0.4051282051282052,False
"""I mean it",0.4051282051282052,False
I am happy,0.40512820512820513,False
"""as",0.40512820512820513,False
Did,0.40512820512820513,False
""" the whole movie",0.40512820512820513,False
judd ',0.40512820512820513,False
the movie has lots,0.40512820512820513,False
""" judd",0.40512820512820513,False
"""the characters",0.40512820512820513,False
a,0.40384615384615385,False
do you really,0.3910256410256411,False
"""the film is",0.3910256410256411,False
The answer is,0.3910256410256411,False
"""sad",0.3910256410256411,False
"""ozpet",0.391025641025641,False
What is the sentiment,0.3897435897435898,False
Is,0.3897435897435898,False
Based on,0.38974358974358975,False
""" the films most",0.38846153846153847,False
the,0.3756410256410257,False
What does this,0.3756410256410257,False
"""the first",0.37564102564102564,False
the films features a,0.37564102564102564,False
What,0.37435897435897436,False
"""that's",0.37435897435897436,False
Choose your answer.,0.37435897435897436,False
"""The film",0.37435897435897436,False
for a long time,0.3730769230769231,False
"""Hold this movie",0.36025641025641025,False
Is the sentiment,0.36025641025641025,False
"""an utterly wonderful",0.358974358974359,False
yes,0.358974358974359,False
I'd rate,0.358974358974359,False
"""The movie deals more",0.358974358974359,False
"""the performances are",0.3589743589743589,False
"""lady",0.3589743589743589,False
the story is a,0.35769230769230764,False
"""sweetly ,",0.34615384615384615,False
"""What about",0.3448717948717949,False
is the,0.3448717948717949,False
Choose,0.34487179487179487,False
The performance of,0.34487179487179487,False
Q:,0.34487179487179487,False
"""The",0.34487179487179487,False
the director is,0.34487179487179487,False
to some on the other,0.3435897435897436,False
"""of",0.3435897435897436,False
the performances are all,0.3435897435897436,False
"""a brilliant homage",0.3435897435897436,False
Select your answer,0.3435897435897436,False
the cast is solid,0.3435897435897436,False
"""an enjoyable",0.3435897435897436,False
Choose your,0.3435897435897436,False
"""it leaves",0.3435897435897436,False
", so",0.3435897435897436,False
?,0.3423076923076923,False
the performances are solid,0.3423076923076923,False
can you,0.3423076923076923,False
no.,0.3423076923076923,False
the performances could,0.3423076923076923,False
This is,0.34102564102564104,False
"""like",0.3307692307692308,False
{/separator,0.32820512820512826,False
the dialogue,0.32820512820512826,False
"""the filmmakers",0.32820512820512826,False
"""The main",0.32820512820512826,False
The,0.32820512820512815,False
an unremarkable,0.326923076923077,False
the characters are complex,0.3269230769230769,False
the actors look,0.3269230769230769,False
. {separator,0.31410256410256415,False
What characterizations,0.31410256410256415,False
"""the",0.3141025641025641,False
"""to",0.3128205128205128,False
"""there's",0.3128205128205128,False
"""at",0.3128205128205128,False
"""and",0.3128205128205128,False
"""The great",0.3128205128205128,False
Is the sentiment of,0.3128205128205128,False
"""The comedy",0.3128205128205128,False
"""The film starts quietly",0.3128205128205128,False
"""there",0.3128205128205128,False
the story is,0.3128205128205128,False
"""this is",0.3115384615384616,False
"""with",0.29743589743589743,False
the whole movie is,0.29743589743589743,False
What is the,0.29743589743589743,False
Select your answer from,0.29743589743589743,False
Can you provide an,0.29743589743589743,False
"""judd '",0.29743589743589743,False
the quality of,0.29743589743589743,False
"""to think",0.29743589743589743,False
"""well , there",0.29743589743589743,False
no,0.29743589743589743,False
"""an un",0.29743589743589743,False
can the reviews be,0.29743589743589743,False
is there any,0.29743589743589743,False
"""daniel",0.29743589743589743,False
"""like most",0.29743589743589743,False
what are your,0.29743589743589743,False
"""an entertaining movie",0.29615384615384616,False
"""",0.2948717948717949,False
"""r",0.2948717948717949,False
"""s",0.28205128205128205,False
the actors are all,0.28205128205128205,False
"""not",0.28076923076923077,False
"""spe",0.28076923076923077,False
a great,0.2794871794871795,False
"""Martin has taken",0.26794871794871794,False
"""I love their",0.26666666666666666,False
"yes, the performances",0.2641025641025641,False
"Choices:
 1",0.2641025641025641,False
"""i",0.25,False
", i",0.25,False
"""they are",0.25,False
i,0.25,False
", good",0.25,False
the movie is great,0.24871794871794878,False
"""as an",0.2358974358974359,False
"""is an",0.23461538461538461,False
"The critic,",0.23461538461538461,False
,0.23333333333333334,False
"no , the performance",0.23333333333333334,False
what a disappointment .,0.23205128205128203,False
"/ semi-good

""",0.21923076923076926,False
the performances are,0.21794871794871798,False
"maybe

The",0.21794871794871798,False
OPT:,0.21666666666666665,False
the characters,0.21666666666666665,False
"but , for the other",0.20512820512820515,False
but i thought the,0.20384615384615384,False
the performances,0.2025641025641026,False
there is no real,0.2025641025641026,False
it,0.1717948717948718,False
the film is not,0.13974358974358975,False
the movie isn't,0.12307692307692308,False
