separator,accuracy,top_5_percent
a j,0.5,True
by a lot,0.4833333333333333,True
(i,0.46923076923076923,True
{separator,0.45384615384615384,True
i was,0.45256410256410257,True
"""it",0.4384615384615384,True
[16,0.4384615384615384,True
one of,0.43717948717948724,True
"168""",0.43717948717948724,True
so much so,0.43717948717948724,True
,0.4371794871794871,False
201,0.4371794871794871,False
3,0.4371794871794871,False
you won,0.4371794871794871,False
4 stars,0.4371794871794871,False
(as,0.4230769230769231,False
I am more,0.4230769230769231,False
as movies go,0.4230769230769231,False
"""its",0.4230769230769231,False
8 out,0.4217948717948718,False
s,0.4217948717948718,False
sp,0.4217948717948718,False
"""very well",0.408974358974359,False
as,0.40769230769230774,False
"""s",0.40769230769230774,False
"""",0.4076923076923077,False
a,0.4076923076923077,False
from,0.4076923076923077,False
"film

""",0.4076923076923077,False
the movie,0.4064102564102564,False
and is,0.4064102564102564,False
the dialogue,0.4064102564102564,False
4/1,0.4064102564102564,False
the film,0.4064102564102564,False
-ninety,0.4064102564102564,False
at,0.4064102564102564,False
( ),0.4064102564102564,False
this movie,0.4064102564102564,False
we're,0.4064102564102564,False
a film,0.4064102564102564,False
"""its most",0.4064102564102564,False
f,0.4064102564102564,False
the film's,0.4064102564102564,False
more of,0.4064102564102564,False
as self,0.4064102564102564,False
i,0.4051282051282052,False
"""its humor",0.40512820512820513,False
the most,0.3923076923076923,False
{,0.3910256410256411,False
what the hell,0.3910256410256411,False
14,0.3910256410256411,False
that's,0.3910256410256411,False
the title has,0.3910256410256411,False
the movie is,0.391025641025641,False
how,0.391025641025641,False
32/,0.391025641025641,False
so,0.391025641025641,False
its humor,0.391025641025641,False
this is,0.3756410256410257,False
the voice over,0.3756410256410257,False
"21. """,0.3756410256410257,False
the script,0.3756410256410257,False
and finally,0.37564102564102564,False
a decent film,0.37435897435897436,False
"""the film",0.3743589743589743,False
"""this movie",0.3743589743589743,False
"""the sound",0.3743589743589743,False
3 out of,0.3730769230769231,False
even,0.3615384615384616,False
it,0.3615384615384616,False
you can,0.36153846153846153,False
in a way,0.36025641025641025,False
"""br",0.36025641025641025,False
""" {sep} and",0.36025641025641025,False
"""no movie",0.358974358974359,False
""" a bit",0.358974358974359,False
"""wor",0.3589743589743589,False
spiel,0.3576923076923077,False
you,0.3564102564102564,False
the,0.34615384615384615,False
on with all,0.34615384615384615,False
"as thrilling,",0.3448717948717949,False
"""to me",0.3448717948717949,False
62 of the,0.34487179487179487,False
to say nothing,0.34487179487179487,False
in,0.34487179487179487,False
this movie was,0.3435897435897436,False
a few minutes,0.3435897435897436,False
it's a,0.3435897435897436,False
9.8,0.3423076923076923,False
"""t",0.32948717948717954,False
a mixture of,0.32948717948717954,False
somewhat,0.32948717948717954,False
"""it's",0.3128205128205128,False
lacks even,0.3128205128205128,False
not too,0.3128205128205128,False
The plot is,0.3128205128205128,False
"""unbear",0.3128205128205128,False
no matter if,0.3128205128205128,False
not what,0.3128205128205128,False
as un,0.29743589743589743,False
and not,0.29743589743589743,False
not at all,0.29743589743589743,False
and,0.29743589743589743,False
we never,0.29743589743589743,False
we want,0.29743589743589743,False
by,0.29743589743589743,False
"""the actors",0.29743589743589743,False
the only point,0.29743589743589743,False
what,0.29615384615384616,False
this,0.2948717948717949,False
spielberg,0.2948717948717949,False
it is,0.2833333333333333,False
"""to",0.28205128205128205,False
if,0.28205128205128205,False
"""unpleasant",0.28205128205128205,False
"""not",0.28205128205128205,False
some,0.28076923076923077,False
"""all that",0.28076923076923077,False
at his,0.267948717948718,False
and just,0.2653846153846154,False
its,0.2512820512820513,False
the only interesting,0.2512820512820513,False
not to be,0.25,False
a perfect,0.24871794871794878,False
"}

""what",0.24871794871794878,False
"""one can",0.2358974358974359,False
of all the,0.23461538461538467,False
"""we're",0.23333333333333334,False
not the best,0.22051282051282048,False
"""a brilliant",0.21923076923076926,False
"""an effective",0.21923076923076926,False
""" the",0.21794871794871798,False
"""in a",0.21794871794871798,False
""" the most",0.20512820512820512,False
"""he",0.2025641025641026,False
"what, after",0.2012820512820513,False
the 4,0.18846153846153846,False
but also,0.18717948717948718,False
in the first,0.18717948717948718,False
no,0.18589743589743593,False
""" a",0.1858974358974359,False
the director of,0.17307692307692307,False
"""the",0.1717948717948718,False
the only,0.1717948717948718,False
and the,0.13974358974358975,False
", but",0.13974358974358975,False
but the,0.10897435897435899,False
after 5,0.10769230769230771,False
an,0.09615384615384616,False
i have seen,0.0782051282051282,False
all those,0.06282051282051282,False
but,0.047435897435897434,False
as utterly,0.046153846153846156,False
on the other,0.015384615384615385,False
and to give,0.015384615384615385,False
"""is another",0.0,False
with,0.0,False
to an,0.0,False
"""with his",0.0,False
