separator,accuracy,top_5_percent
", it's a very",0.4076923076923077,True
A big,0.3756410256410257,True
the part,0.3756410256410257,True
my first,0.36025641025641025,True
my,0.34487179487179487,True
one,0.34487179487179487,True
", really",0.32948717948717954,True
", this is",0.31410256410256415,True
{,0.3128205128205128,False
one scene,0.3128205128205128,False
a bit too,0.3128205128205128,False
the film is,0.3128205128205128,False
", a nice,",0.3128205128205128,False
to be more,0.3128205128205128,False
", I wish I",0.3128205128205128,False
and its very,0.3128205128205128,False
in,0.3128205128205128,False
I,0.29871794871794877,False
not a bad one,0.29871794871794877,False
,0.29743589743589743,False
in the,0.29743589743589743,False
"!

One scene",0.29743589743589743,False
one scene after,0.29743589743589743,False
"""as much",0.29743589743589743,False
", funny",0.29743589743589743,False
one is right,0.29743589743589743,False
A funny example,0.29743589743589743,False
", what do I mean",0.29743589743589743,False
", but this",0.29743589743589743,False
for,0.29743589743589743,False
two hours,0.29743589743589743,False
"""good,",0.29743589743589743,False
", we",0.29743589743589743,False
One night,0.29743589743589743,False
the best of,0.29743589743589743,False
One,0.29743589743589743,False
and good,0.29743589743589743,False
", but what",0.29743589743589743,False
good,0.29743589743589743,False
"""all",0.29743589743589743,False
"""as",0.29743589743589743,False
one-,0.29743589743589743,False
", don",0.29743589743589743,False
"""as fun",0.29743589743589743,False
"""un",0.29743589743589743,False
another,0.29743589743589743,False
it is no good saying,0.29743589743589743,False
for the,0.29743589743589743,False
"""you",0.29743589743589743,False
"""unspe",0.29743589743589743,False
Movies like,0.29743589743589743,False
my very,0.29743589743589743,False
another scene,0.29743589743589743,False
"""a great",0.29743589743589743,False
some,0.29743589743589743,False
As you can,0.29743589743589743,False
that was supposed,0.29743589743589743,False
"""what all",0.29743589743589743,False
; in,0.29743589743589743,False
", in fact.,",0.29743589743589743,False
the ending,0.29743589743589743,False
"""if you",0.29743589743589743,False
"""everything",0.29743589743589743,False
".

and",0.29743589743589743,False
One thing it,0.29743589743589743,False
"""the dialogue",0.29743589743589743,False
of which you,0.29743589743589743,False
"""this movie",0.29743589743589743,False
As,0.29743589743589743,False
to say,0.29743589743589743,False
sad,0.29743589743589743,False
"""no mistake",0.29743589743589743,False
", in my opinion,",0.29743589743589743,False
", you",0.29743589743589743,False
in the midst,0.29743589743589743,False
and really just not sure,0.29743589743589743,False
", but these few",0.29743589743589743,False
"""one thing",0.29743589743589743,False
"""the director",0.29743589743589743,False
", a movie like this",0.29743589743589743,False
", some of you",0.29743589743589743,False
", but you may",0.29743589743589743,False
"""the rest",0.29743589743589743,False
also,0.29743589743589743,False
One guy,0.29743589743589743,False
I do know,0.29743589743589743,False
"""All",0.29743589743589743,False
"but. """,0.28205128205128205,False
",",0.28205128205128205,False
as,0.28205128205128205,False
"and even better,",0.28205128205128205,False
but,0.28205128205128205,False
"but, there",0.28205128205128205,False
man,0.28205128205128205,False
as with one,0.28205128205128205,False
"""one-",0.28205128205128205,False
and there,0.28205128205128205,False
a,0.28076923076923077,False
"""The characters",0.28076923076923077,False
"""The main",0.28076923076923077,False
"""one",0.28076923076923077,False
"""if this",0.28076923076923077,False
"""what",0.28076923076923077,False
"""with some",0.28076923076923077,False
", this",0.28076923076923077,False
if it's,0.2692307692307693,False
", bad

""",0.267948717948718,False
".

""if",0.26666666666666666,False
"""the kind",0.26538461538461544,False
"""in such",0.26538461538461544,False
and then,0.2525641025641026,False
then a few,0.2512820512820513,False
the film has,0.2512820512820513,False
", this is a",0.2512820512820513,False
It,0.2512820512820513,False
if you play a,0.25,False
"""dread",0.25,False
", it's",0.25,False
with us having a bad,0.23846153846153845,False
one less well,0.2358974358974359,False
A,0.23461538461538461,False
"""it",0.23461538461538461,False
and then with,0.23461538461538461,False
and if the,0.23333333333333334,False
as if the,0.23333333333333334,False
"""The worst",0.21794871794871798,False
is the worst,0.21794871794871798,False
"""I feel",0.21794871794871798,False
I never,0.20641025641025643,False
of course,0.20512820512820512,False
. it is a,0.20384615384615387,False
"""a",0.20384615384615384,False
it's not a,0.2025641025641026,False
(also this,0.20256410256410257,False
"""I could",0.1858974358974359,False
", that was a",0.1858974358974359,False
of,0.17307692307692307,False
and,0.17307692307692307,False
.,0.158974358974359,False
", I see, that",0.15512820512820516,False
This is,0.15512820512820513,False
"""",0.14358974358974358,False
This,0.14102564102564102,False
In his,0.12564102564102564,False
"""I",0.12435897435897439,False
This kind of,0.09358974358974359,False
"""this",0.09230769230769231,False
", no. {separ",0.0782051282051282,False
"""the",0.07692307692307693,False
"""I've",0.07692307692307693,False
(the,0.07692307692307693,False
"""that",0.07692307692307693,False
"""of which",0.06153846153846154,False
"""with their",0.046153846153846156,False
"""he",0.046153846153846156,False
"""The",0.03076923076923077,False
"""This",0.03076923076923077,False
one of,0.03076923076923077,False
"""and",0.015384615384615385,False
", but """,0.015384615384615385,False
