separator,accuracy,top_5_percent
",

D",0.7807692307692308,True
", the new",0.7628205128205129,True
", v",0.7474358974358974,True
", a real",0.735897435897436,True
", with effects",0.7346153846153847,True
", he's an awesome",0.7333333333333333,True
(,0.717948717948718,True
________,0.7166666666666667,True
", mut",0.6987179487179487,False
is a real and real,0.691025641025641,False
Movies,0.6871794871794872,False
", ""gods are",0.6833333333333333,False
", that's",0.6551282051282052,False
", Blade i",0.6538461538461539,False
{a positive,0.6397435897435898,False
", blade iii",0.6269230769230769,False
".

, blade",0.6256410256410256,False
.  {,0.6243589743589744,False
Dennis,0.6051282051282052,False
", The director",0.5948717948717948,False
= positive/negative in,0.5769230769230769,False
", m",0.5769230769230769,False
. {separ,0.5602564102564103,False
", the film",0.5602564102564103,False
=,0.5602564102564103,False
; is funny,0.5602564102564103,False
", sword",0.5487179487179487,False
If you already,0.5474358974358975,False
: in other,0.5448717948717949,False
. [,0.5448717948717948,False
-,0.5435897435897437,False
", the evil",0.5435897435897437,False
", slash",0.5333333333333333,False
", a d",0.5333333333333333,False
", slash n",0.5333333333333333,False
", an un",0.5282051282051282,False
The first thing,0.5282051282051282,False
{un,0.5282051282051282,False
if you put,0.5282051282051282,False
", slice of",0.5269230769230769,False
are a sub,0.517948717948718,False
", a cartoon",0.517948717948718,False
. {separator,0.5128205128205129,False
"""I",0.5128205128205129,False
", , slashing",0.5025641025641026,False
", slashing",0.5025641025641026,False
", knife",0.5025641025641026,False
", blade ii",0.5012820512820513,False
in the short,0.5,False
What is your,0.4987179487179486,False
".

{separ",0.49743589743589756,False
/positive,0.49743589743589756,False
"., i",0.49743589743589756,False
-action,0.49743589743589756,False
has seen some,0.49743589743589756,False
".

, Blade",0.49743589743589756,False
are people actually,0.49743589743589756,False
", i.e.:",0.48589743589743595,False
- I hate the idea,0.48589743589743595,False
and very strong for the,0.4833333333333333,False
but that's it.,0.4820512820512821,False
", cutting",0.4717948717948718,False
{injector},0.4705128205128205,False
for a bad movie,0.46923076923076923,False
The last three,0.46794871794871795,False
the opening movie,0.4666666666666667,False
This is,0.45641025641025645,False
negative,0.4551282051282051,False
", Blade",0.4435897435897436,False
", more of the",0.4384615384615385,False
", you know it .",0.43589743589743596,False
- no reaction,0.43461538461538457,False
"""",0.4269230769230769,False
", leaving the",0.4217948717948718,False
", having sucked",0.4217948717948718,False
"and then, as",0.4205128205128205,False
", i",0.4205128205128205,False
"for the most part,",0.4051282051282052,False
", the director will never",0.39358974358974363,False
", being a",0.3910256410256411,False
", killing",0.3910256410256411,False
", have been",0.38846153846153847,False
", has a",0.3884615384615384,False
"""This",0.36153846153846153,False
is a,0.36025641025641025,False
the new release,0.358974358974359,False
", cutting off",0.3589743589743589,False
", , a",0.33076923076923076,False
", being called",0.32820512820512826,False
When a,0.31410256410256415,False
A,0.3128205128205128,False
", in its",0.3128205128205128,False
", in a",0.3128205128205128,False
", , then",0.3128205128205128,False
: something,0.3128205128205128,False
.,0.3115384615384616,False
", and you can't",0.31153846153846154,False
", while watching",0.29615384615384616,False
"positive

,",0.29615384615384616,False
", or .",0.29615384615384616,False
or for a,0.29615384615384616,False
",",0.26666666666666666,False
", in this case",0.2653846153846154,False
There are,0.26410256410256416,False
in some senses .,0.26410256410256416,False
", mutating",0.2628205128205128,False
,0.25128205128205133,False
This was a,0.25128205128205133,False
", as a",0.2358974358974359,False
"is funny , but",0.23461538461538461,False
If the,0.23461538461538461,False
", but  is a",0.21923076923076926,False
", if """,0.18846153846153846,False
",,",0.1871794871794872,False
", which is",0.17307692307692307,False
", ""You",0.17307692307692307,False
", a",0.1282051282051282,False
", you",0.12564102564102564,False
and are the,0.12307692307692308,False
to,0.12307692307692308,False
", mutates",0.10897435897435899,False
This,0.0782051282051282,False
", and """,0.0782051282051282,False
", the",0.0641025641025641,False
the actor plays,0.06282051282051282,False
", making",0.06282051282051282,False
", but this",0.06153846153846154,False
- for,0.06153846153846154,False
", The",0.047435897435897434,False
", is",0.047435897435897434,False
", or",0.046153846153846156,False
", , and",0.046153846153846156,False
in,0.046153846153846156,False
", blade",0.03333333333333333,False
The,0.03205128205128205,False
", and have",0.03076923076923077,False
", the sequel should",0.03076923076923077,False
You have,0.015384615384615385,False
", has always",0.015384615384615385,False
", it",0.015384615384615385,False
", or if",0.015384615384615385,False
if you didn't like,0.015384615384615385,False
", or in",0.015384615384615385,False
", have you",0.015384615384615385,False
", having",0.0,False
",

which",0.0,False
for,0.0,False
", and",0.0,False
", being",0.0,False
", has",0.0,False
", with",0.0,False
", ,",0.0,False
And,0.0,False
", have",0.0,False
", in that it will",0.0,False
and it has,0.0,False
", can",0.0,False
", but",0.0,False
", , ,",0.0,False
. With,0.0,False
