separator,accuracy,top_5_percent
"""it is",0.41025641025641024,True
"""is",0.3782051282051282,True
"""its",0.36410256410256403,True
too,0.36025641025641025,True
", this is",0.358974358974359,True
"""... it is",0.3320512820512821,True
"""not even",0.32948717948717954,True
not so,0.32820512820512826,True
"""certainly",0.32820512820512815,True
""" the",0.31410256410256415,False
good,0.31410256410256415,False
is it,0.3141025641025641,False
this is,0.3128205128205128,False
"""a good",0.3128205128205128,False
the soundtrack is,0.3128205128205128,False
"""if",0.3115384615384616,False
"""no",0.31153846153846154,False
"""the",0.29743589743589743,False
"""as",0.29743589743589743,False
"""in his",0.29743589743589743,False
it starts,0.29743589743589743,False
"""there are",0.29743589743589743,False
"""the only",0.29743589743589743,False
"""is this",0.29743589743589743,False
the movie is,0.29743589743589743,False
what is,0.29743589743589743,False
. i should start,0.2833333333333333,False
the film is,0.28205128205128205,False
"""is anything",0.28205128205128205,False
"""what",0.28076923076923077,False
there are other,0.28076923076923077,False
"""and",0.2794871794871795,False
"""that's",0.2794871794871795,False
so,0.2794871794871795,False
"""one",0.2782051282051282,False
"""... i am",0.267948717948718,False
"""...",0.267948717948718,False
"""it's",0.26666666666666666,False
the main,0.26666666666666666,False
"""the audience",0.26538461538461544,False
and as bland,0.25256410256410255,False
i liked,0.2512820512820513,False
"""is the",0.2512820512820513,False
"""in many",0.24871794871794878,False
"""they make",0.24743589743589745,False
"""every",0.24743589743589745,False
but one character,0.2358974358974359,False
and,0.23333333333333334,False
well,0.2217948717948718,False
The problem is,0.22051282051282053,False
it is,0.22051282051282053,False
", well",0.22051282051282048,False
at least,0.21666666666666665,False
one,0.21666666666666665,False
as though,0.20512820512820512,False
the best,0.20512820512820512,False
"""... we were",0.2025641025641026,False
"""in",0.20256410256410257,False
"""the story",0.2012820512820513,False
as is,0.2012820512820513,False
“,0.2012820512820513,False
s,0.2012820512820513,False
""" a fun",0.2012820512820513,False
the writing,0.2,False
this is an,0.18974358974358974,False
"""i think",0.18846153846153849,False
good movie .,0.18846153846153846,False
"""",0.1871794871794872,False
"""sne",0.1871794871794872,False
"""but he",0.18717948717948718,False
spider,0.18589743589743593,False
""" a",0.1858974358974359,False
"""a",0.18461538461538463,False
the film,0.18461538461538463,False
?,0.1717948717948718,False
"i suppose , i am",0.1717948717948718,False
the movie just,0.17051282051282055,False
some,0.17051282051282052,False
"""even in",0.17051282051282052,False
as,0.16923076923076924,False
but really only,0.16923076923076924,False
""" the end",0.1564102564102564,False
"""sp",0.1564102564102564,False
i think,0.1564102564102564,False
it,0.1564102564102564,False
"""g",0.1564102564102564,False
director david,0.15512820512820516,False
"""this",0.15512820512820516,False
"""i",0.15512820512820516,False
the film's,0.15512820512820516,False
and its,0.15512820512820516,False
!,0.15512820512820513,False
to say,0.15512820512820513,False
"""at",0.15512820512820513,False
if he,0.15512820512820513,False
", there's a",0.15512820512820513,False
. it,0.15512820512820513,False
its,0.15512820512820513,False
another,0.15512820512820513,False
while this film,0.15512820512820513,False
this movie,0.15512820512820513,False
is the,0.15512820512820513,False
director of the,0.15512820512820513,False
""" this movie",0.15512820512820513,False
"""the film",0.15384615384615383,False
""" the picture",0.13974358974358975,False
at,0.13974358974358975,False
the,0.13974358974358975,False
"""good ,",0.13974358974358975,False
while,0.13974358974358975,False
"""and yes",0.13974358974358975,False
"""what kind",0.13974358974358975,False
one scene after,0.13974358974358975,False
[,0.13974358974358975,False
good but not,0.13974358974358975,False
but in,0.13974358974358975,False
there are a,0.13974358974358975,False
the movie does,0.13974358974358975,False
a,0.13974358974358975,False
' it must,0.13974358974358975,False
""" the screen",0.13974358974358975,False
"""more so",0.13974358974358975,False
"""this movie",0.13974358974358975,False
when a,0.13974358974358975,False
"in fact ,",0.13974358974358975,False
""" a w",0.13974358974358975,False
in a,0.13974358974358975,False
"""spiel",0.13974358974358975,False
"""so why",0.13974358974358975,False
"""the camera",0.13974358974358975,False
in,0.13974358974358975,False
as an extra,0.13974358974358975,False
the action,0.13974358974358975,False
", so",0.13974358974358975,False
the movie,0.13974358974358975,False
. great,0.13974358974358975,False
the same film,0.13974358974358975,False
and while there,0.13974358974358975,False
great,0.13974358974358975,False
at certain points,0.13974358974358975,False
as everything .,0.13974358974358975,False
"""unbelie",0.13974358974358975,False
"well, a",0.13974358974358975,False
as well as,0.12564102564102564,False
.,0.12435897435897439,False
this,0.12435897435897439,False
as the,0.12435897435897439,False
over all the,0.12435897435897439,False
as much,0.12435897435897439,False
so much less is,0.12435897435897439,False
one thing at a time,0.12435897435897439,False
well put,0.12435897435897439,False
one of,0.12435897435897439,False
"""one of",0.12435897435897439,False
and the same,0.12435897435897439,False
", but",0.10897435897435899,False
in the,0.10897435897435899,False
there are at,0.10897435897435899,False
but,0.06282051282051282,False
,0.0,False
